title,type,release_year,runtime,seasons,imdb_score,imdb_votes,lead_production,production_countries_cnt,lead_genres,genres_cnt,movie_cluster,dbscan_clusters
Kabir Singh: Retiring Material,MOVIE,2020,25,0.0,7.2,5.0,,1,comedy,1,67,67
1/2 New Year,MOVIE,2019,74,0.0,4.8,347.0,US,1,comedy,2,2,2
Price of Love,MOVIE,2020,108,0.0,6.0,73.0,,1,drama,1,20,20
D.N. Ace,SHOW,2019,24,1.0,6.9,24.0,CA,1,animation,1,85,85
Mayabazar 2016,MOVIE,2020,133,0.0,7.3,783.0,IN,1,drama,3,40,40
Sufiyum Sujatayum,MOVIE,2020,121,0.0,6.1,464.0,IN,1,drama,1,40,40
Thatrom Thookrom,MOVIE,2020,131,0.0,7.1,520.0,IN,1,action,1,59,59
Grace & Saleem,MOVIE,2019,84,0.0,5.5,23.0,,1,comedy,2,67,67
Ye Re Ye Re Paisa 2,MOVIE,2019,134,0.0,5.4,76.0,IN,1,drama,2,40,40
Kitty Mammas,MOVIE,2020,93,0.0,6.1,464.0,CA,1,comedy,1,41,41
The House of Us,MOVIE,2019,93,0.0,6.1,464.0,KR,1,drama,2,139,139
White Demise,MOVIE,2020,70,0.0,4.2,58.0,,1,drama,2,20,20
Ji bo azadiy̻,MOVIE,2019,135,0.0,7.3,270.0,SY,1,war,2,-1,-1
Timbertown,MOVIE,2019,90,0.0,5.1,89.0,,1,comedy,2,67,67
Takatak,MOVIE,2019,144,0.0,6.2,209.0,IN,1,comedy,1,18,18
Maserati: A Hundred Years Against All Odds,MOVIE,2020,93,0.0,5.5,26.0,DE,1,documentation,2,166,166
Far Too Personal,MOVIE,2020,102,0.0,4.4,141.0,SK,2,comedy,3,-1,-1
Elfette Saves Christmas,MOVIE,2019,103,0.0,3.1,125.0,US,1,family,3,17,17
Elliott Morgan: Holy Shit,MOVIE,2019,54,0.0,7.2,20.0,,1,comedy,1,67,67
Unprescribed,MOVIE,2020,71,0.0,7.6,58.0,,1,documentation,2,143,143
The lies we tell but the secrets we keep part 4,MOVIE,2019,107,0.0,8.2,31.0,,1,drama,1,20,20
Brash Boys Club,MOVIE,2020,82,0.0,3.9,23.0,,1,documentation,1,143,143
Havana Darkness,MOVIE,2019,84,0.0,3.8,628.0,US,1,thriller,1,3,3
Positive,MOVIE,2020,94,0.0,2.9,145.0,US,1,comedy,1,2,2
Rogue Cell: Shadow Warrior,MOVIE,2020,77,0.0,2.7,67.0,,1,action,2,57,57
The Dance,MOVIE,2019,80,0.0,4.5,42.0,VE,1,drama,2,-1,-1
The Party,MOVIE,2019,91,0.0,3.7,24.0,CO,1,family,2,-1,-1
Bhoot Chaturdashi,MOVIE,2019,98,0.0,3.3,218.0,IN,1,horror,1,146,146
Romang,MOVIE,2019,112,0.0,6.8,175.0,KR,1,romance,2,-1,-1
Goyenda Junior,MOVIE,2019,117,0.0,6.1,212.0,IN,1,drama,1,40,40
Os Espetaculares,MOVIE,2020,87,0.0,5.7,108.0,BR,1,comedy,2,138,138
"Barry Brewer: Chicago, I'm Home",MOVIE,2019,78,0.0,6.1,464.0,XX,1,comedy,1,101,101
Pungo: A Witch's Tale,MOVIE,2020,102,0.0,6.2,573.0,US,1,fantasy,1,8,8
50K,MOVIE,2020,86,0.0,5.4,32.0,US,1,crime,2,6,6
Dreaming Grand Avenue,MOVIE,2020,99,0.0,5.5,75.0,US,1,drama,1,5,5
E.14,MOVIE,2020,86,0.0,5.0,54.0,,1,drama,1,20,20
The Eagle's Nest,MOVIE,2020,90,0.0,5.7,42.0,CM,2,thriller,1,-1,-1
